isinCd,ytm,coupon_rate,after_tax_yield_approx,calculation_status
KR101501DC30,3.398,1.0,3.244,CALCULATED
KR101501DC63,3.473,1.0,3.319,CALCULATED
KR101501DC89,3.416,1.0,3.262,CALCULATED
KR101501DCA3,3.446,1.0,3.2920000000000003,CALCULATED
KR101501DD13,3.941,1.3,3.7407999999999997,CALCULATED
KR101501DD39,4.151,1.3,3.9507999999999996,CALCULATED
KR101501DD70,3.997,1.3,3.7967999999999997,CALCULATED
KR101501DD88,3.519,1.3,3.3188,CALCULATED
KR101501DDA1,3.745,1.3,3.5448,CALCULATED
KR101501DDC7,3.753,1.3,3.5528,CALCULATED
KR101501DE12,3.89,1.3,3.6898,CALCULATED
KR101501DE38,3.781,1.3,3.5808,CALCULATED
KR101501DE53,3.878,1.3,3.6778,CALCULATED
KR101501DE61,3.883,1.3,3.6828,CALCULATED
KR101501DE79,3.882,1.3,3.6818,CALCULATED
KR101501DF78,3.971,1.0,3.817,CALCULATED
KR101501DFC2,3.847,1.0,3.693,CALCULATED
KR101501DG10,4.044,1.0,3.8899999999999997,CALCULATED
KR101501DG28,4.094,1.0,3.9400000000000004,CALCULATED
KR101501DG36,4.07,1.0,3.9160000000000004,CALCULATED
KR101501DG44,4.201,1.0,4.047,CALCULATED
KR101501DG51,4.153,1.0,3.9989999999999997,CALCULATED
KR101501DG69,4.201,1.0,4.047,CALCULATED
KR101501DG77,4.181,1.0,4.027,CALCULATED
KR101501DG85,4.181,1.0,4.027,CALCULATED
KR10350172C8,4.426,3.0,3.9640000000000004,CALCULATED
KR103501GC90,3.551,3.125,3.06975,CALCULATED
KR103501GE98,3.773,3.0,3.311,CALCULATED
KR103501GF63,3.53,2.25,3.1835,CALCULATED
KR103501GF97,3.465,2.25,3.1185,CALCULATED
KR103501GG39,4.521,3.5,3.9819999999999998,CALCULATED
KR103501GG62,3.744,3.5,3.205,CALCULATED
KR10350270C0,2.43,4.75,1.6985000000000001,CALCULATED
KR1035027WC3,3.887,5.5,3.04,CALCULATED
KR103502G693,4.254,1.5,4.023,CALCULATED
KR103502G6C4,3.202,1.5,2.971,CALCULATED
KR103502G768,3.382,2.125,3.0547500000000003,CALCULATED
KR103502G990,4.316,1.125,4.1427499999999995,CALCULATED
KR103502G9C8,3.8,1.375,3.58825,CALCULATED
KR103502GA34,4.534,1.5,4.303,CALCULATED
KR103502GA67,3.916,1.375,3.70425,CALCULATED
KR103502GA91,4.363,1.5,4.132000000000001,CALCULATED
KR103502GAC2,3.917,1.5,3.686,CALCULATED
KR103502GB33,4.569,1.875,4.28025,CALCULATED
KR103502GB66,3.959,2.0,3.6510000000000002,CALCULATED
KR103502GBC0,4.115,2.375,3.74925,CALCULATED
KR103502GC99,4.514,3.125,4.03275,CALCULATED
KR103502GCC8,4.158,4.25,3.5035000000000003,CALCULATED
KR103502GD31,4.545,3.25,4.0445,CALCULATED
KR103502GD64,4.192,3.25,3.6915000000000004,CALCULATED
KR103502GD98,4.553,3.625,3.99475,CALCULATED
KR103502GDC6,4.137,4.125,3.5017499999999995,CALCULATED
KR103502GE30,4.553,3.25,4.0525,CALCULATED
KR103502GE63,4.142,3.5,3.603,CALCULATED
KR103502GE97,4.538,2.75,4.1145000000000005,CALCULATED
KR103502GF39,4.539,2.625,4.1347499999999995,CALCULATED
KR103502GF62,4.219,2.625,3.81475,CALCULATED
KR103502GG38,3.571,3.0,3.109,CALCULATED
KR103502GG61,1.655,1.125,1.4817500000000001,CALCULATED
KR103503G865,-0.265,1.75,-0.5345,CALCULATED
KR103503GB99,4.436,1.875,4.14725,CALCULATED
KR103503GE96,3.012,2.875,2.5692500000000003,CALCULATED
KR103503GF95,3.945,2.5,3.5599999999999996,CALCULATED
