isinCd,modified_duration,calculation_status,duration_sensitivity
KR6095921E39,,NO_MARKET_DATA,
KR6095921E62,,NO_MARKET_DATA,
KR6000031F43,,NO_MARKET_DATA,
KR6000031F50,,NO_MARKET_DATA,
KR6000031F68,,NO_MARKET_DATA,
KR6000031F76,,NO_MARKET_DATA,
KR6000031F84,,NO_MARKET_DATA,
KR6000031F92,,NO_MARKET_DATA,
KR6000031FA4,,NO_MARKET_DATA,
KR6000031FB2,,NO_MARKET_DATA,
KR6000031G26,,NO_MARKET_DATA,
KR6000031G34,,NO_MARKET_DATA,
KR6004946G22,,NO_MARKET_DATA,
KR6000113E60,,NO_MARKET_DATA,
KR6000114357,,NO_MARKET_DATA,
KR6000114563,,NO_MARKET_DATA,
KR6000114852,,NO_MARKET_DATA,
KR6005283G79,,NO_MARKET_DATA,
KR6005284G29,,NO_MARKET_DATA,
KR6005284G45,,NO_MARKET_DATA,
KR6005284G78,,NO_MARKET_DATA,
KR6005285F45,,NO_MARKET_DATA,
KR6005286K62,,NO_MARKET_DATA,
KR60061M1F67,,NO_MARKET_DATA,
KR60061N1F65,,NO_MARKET_DATA,
KR60061P1F60,,NO_MARKET_DATA,
KR60061R1F66,,NO_MARKET_DATA,
KR60061T1F62,,NO_MARKET_DATA,
KR60061X1F64,,NO_MARKET_DATA,
KR60124X1FB0,,NO_MARKET_DATA,
KR60124Y1FB9,,NO_MARKET_DATA,
KR60124Z1FB8,,NO_MARKET_DATA,
KR60125B1FB5,,NO_MARKET_DATA,
KR60125C1FB4,,NO_MARKET_DATA,
KR381013GFB4,,NO_MARKET_DATA,
KR381101G697,,NO_MARKET_DATA,
KR381101G6B3,,NO_MARKET_DATA,
KR381101GA31,,NO_MARKET_DATA,
KR381101GA98,,NO_MARKET_DATA,
KR381101GC13,,NO_MARKET_DATA,
KR381101GE29,,NO_MARKET_DATA,
KR381101GE37,,NO_MARKET_DATA,
KR381101GE52,,NO_MARKET_DATA,
KR381101GE78,,NO_MARKET_DATA,
KR354410GA91,,NO_MARKET_DATA,
KR354410GAB6,,NO_MARKET_DATA,
KR354410GB74,,NO_MARKET_DATA,
KR354410GBA6,,NO_MARKET_DATA,
KR354410GBB4,,NO_MARKET_DATA,
KR356002G557,,NO_MARKET_DATA,
KR356002G565,,NO_MARKET_DATA,
KR356002G581,,NO_MARKET_DATA,
KR356002G5C5,,NO_MARKET_DATA,
KR356002G631,,NO_MARKET_DATA,
KR35600271A7,,NO_MARKET_DATA,
KR3560027210,,NO_MARKET_DATA,
KR356002G441,,NO_MARKET_DATA,
KR356002G532,,NO_MARKET_DATA,
KR356002G540,,NO_MARKET_DATA,
KR3821017P66,,NO_MARKET_DATA,
KR3821037QA2,,NO_MARKET_DATA,
KR3821117V34,,NO_MARKET_DATA,
KR3827017P71,,NO_MARKET_DATA,
KR3831027W15,,NO_MARKET_DATA,
KR3831037W13,,NO_MARKET_DATA,
KR6004946G30,,NO_MARKET_DATA,
KR6004946G55,,NO_MARKET_DATA,
KR6004947E56,,NO_MARKET_DATA,
KR6004947E98,,NO_MARKET_DATA,
KR6004947EA0,,NO_MARKET_DATA,
KR6004947F71,,NO_MARKET_DATA,
KR6004947F97,,NO_MARKET_DATA,
KR6004947FA7,,NO_MARKET_DATA,
KR350704GB36,,NO_MARKET_DATA,
KR354401GG47,,NO_MARKET_DATA,
KR354401GG54,,NO_MARKET_DATA,
KR60052N1F56,,NO_MARKET_DATA,
KR60052Y1F95,,NO_MARKET_DATA,
KR60052Y1G52,,NO_MARKET_DATA,
KR6005301DA1,,NO_MARKET_DATA,
KR60116BKFA8,,NO_MARKET_DATA,
KR60116BLFA6,,NO_MARKET_DATA,
KR354415GF26,,NO_MARKET_DATA,
KR354415GF67,,NO_MARKET_DATA,
KR354415GF83,,NO_MARKET_DATA,
KR354415GF91,,NO_MARKET_DATA,
KR60125D1FB3,,NO_MARKET_DATA,
KR60125E1FB2,,NO_MARKET_DATA,
KR60125F1FB1,,NO_MARKET_DATA,
KR60125G1FB0,,NO_MARKET_DATA,
KR310211GG15,,NO_MARKET_DATA,
KR354419GE72,,NO_MARKET_DATA,
KR354419GE80,,NO_MARKET_DATA,
KR354419GE98,,NO_MARKET_DATA,
KR354419GEA1,,NO_MARKET_DATA,
KR354419GEB9,,NO_MARKET_DATA,
KR354419GF89,,NO_MARKET_DATA,
KR6004275EA6,,NO_MARKET_DATA,
KR6004276EA4,,NO_MARKET_DATA,
KR60042CGF48,,NO_MARKET_DATA,
KR60042CHF47,,NO_MARKET_DATA,
KR60042CJF45,,NO_MARKET_DATA,
KR60042CKF42,,NO_MARKET_DATA,
KR60042CLF41,,NO_MARKET_DATA,
KR60042CMF40,,NO_MARKET_DATA,
KR60042CNF49,,NO_MARKET_DATA,
KR60042CPF47,,NO_MARKET_DATA,
KR356002G698,,NO_MARKET_DATA,
KR356002G722,,NO_MARKET_DATA,
KR356002G730,,NO_MARKET_DATA,
KR6000011D31,,EXCLUDED_PERPETUAL,
KR356002G755,,NO_MARKET_DATA,
KR356002G771,,NO_MARKET_DATA,
KR6000011629,,NO_MARKET_DATA,
KR60000116C4,,NO_MARKET_DATA,
KR6000011785,,NO_MARKET_DATA,
KR6000011827,,NO_MARKET_DATA,
KR6000011843,,NO_MARKET_DATA,
KR3832011K64,,NO_MARKET_DATA,
KR3832017VC7,,NO_MARKET_DATA,
KR3832027VC6,,NO_MARKET_DATA,
KR383801GG67,,NO_MARKET_DATA,
KR60045E1F59,,NO_MARKET_DATA,
KR60045F1F49,,NO_MARKET_DATA,
KR60045F1F56,,NO_MARKET_DATA,
KR60045G1F47,,NO_MARKET_DATA,
KR310201GD28,,NO_MARKET_DATA,
KR310201GD69,,NO_MARKET_DATA,
KR310201GEB4,,NO_MARKET_DATA,
KR354401GG62,,NO_MARKET_DATA,
KR354401GG70,,NO_MARKET_DATA,
KR354401GG88,,NO_MARKET_DATA,
KR60051KKF57,,NO_MARKET_DATA,
KR60051KLF56,,NO_MARKET_DATA,
KR60051KMF55,,NO_MARKET_DATA,
KR60051KNF54,,NO_MARKET_DATA,
KR60051KPF52,,NO_MARKET_DATA,
KR60051KQF51,,NO_MARKET_DATA,
KR60110R1FB4,,NO_MARKET_DATA,
KR354415GG17,,NO_MARKET_DATA,
KR354415GG33,,NO_MARKET_DATA,
KR60120T1FA2,,NO_MARKET_DATA,
KR6012161FC1,,NO_MARKET_DATA,
KR60121B1FA1,,NO_MARKET_DATA,
KR60121C1FA0,,NO_MARKET_DATA,
KR60121D1FA9,,NO_MARKET_DATA,
KR60121E1FA8,,NO_MARKET_DATA,
KR60121E1FB6,,NO_MARKET_DATA,
KR60121F1FA7,,NO_MARKET_DATA,
KR3102084V12,,NO_MARKET_DATA,
KR60142G4FQ1,,NO_MARKET_DATA,
KR310502G999,,NO_MARKET_DATA,
KR310502GA35,,NO_MARKET_DATA,
KR310502GC33,,NO_MARKET_DATA,
KR310502GC82,,EXCLUDED_PERPETUAL,
KR310502GD57,,NO_MARKET_DATA,
KR310502GD73,,NO_MARKET_DATA,
KR310502GEC3,,NO_MARKET_DATA,
KR310502GF14,,NO_MARKET_DATA,
KR310502GF22,,NO_MARKET_DATA,
KR310502GF55,,NO_MARKET_DATA,
KR60091J1G77,,NO_MARKET_DATA,
KR60091W1F89,,NO_MARKET_DATA,
KR60091XCF88,,NO_MARKET_DATA,
KR60091XDF87,,NO_MARKET_DATA,
KR60091XEF86,,NO_MARKET_DATA,
KR60091XFF85,,NO_MARKET_DATA,
KR60091XGF84,,NO_MARKET_DATA,
KR60091XHF83,,NO_MARKET_DATA,
KR60091XJF81,,NO_MARKET_DATA,
KR60091XKF88,,NO_MARKET_DATA,
KR6000011A18,,NO_MARKET_DATA,
KR6000011A91,,NO_MARKET_DATA,
KR6000011B58,,NO_MARKET_DATA,
KR6000011B74,,NO_MARKET_DATA,
KR6000011E14,,NO_MARKET_DATA,
KR60045S1F42,,NO_MARKET_DATA,
KR60045T1F40,,NO_MARKET_DATA,
KR60045V1F46,,NO_MARKET_DATA,
KR60045W1F44,,NO_MARKET_DATA,
KR60045W1F51,,NO_MARKET_DATA,
KR60045Y1F40,,NO_MARKET_DATA,
KR310201GEC2,,NO_MARKET_DATA,
KR350701GD37,,NO_MARKET_DATA,
KR350701GD45,,NO_MARKET_DATA,
KR6000014FA0,,NO_MARKET_DATA,
KR6000014FB8,,NO_MARKET_DATA,
KR6000014G50,,NO_MARKET_DATA,
KR6000014G68,,NO_MARKET_DATA,
KR6000015588,,NO_MARKET_DATA,
KR60000159A8,,NO_MARKET_DATA,
KR6000015E77,,NO_MARKET_DATA,
KR6000015EC6,,NO_MARKET_DATA,
KR60110S1F93,,NO_MARKET_DATA,
KR60110T1F91,,NO_MARKET_DATA,
KR60110V1F97,,NO_MARKET_DATA,
KR60110X1F93,,NO_MARKET_DATA,
KR60110Y1F91,,NO_MARKET_DATA,
KR6011161EA9,,NO_MARKET_DATA,
KR6011161G74,,NO_MARKET_DATA,
KR310203GF99,,NO_MARKET_DATA,
KR6011162G73,,NO_MARKET_DATA,
KR6011163G72,,NO_MARKET_DATA,
KR6011171G23,,NO_MARKET_DATA,
KR310208GC97,,NO_MARKET_DATA,
KR310208GCB3,,NO_MARKET_DATA,
KR310208GD54,,NO_MARKET_DATA,
KR310208GD88,,NO_MARKET_DATA,
KR310208GDA3,,NO_MARKET_DATA,
KR310208GE87,,NO_MARKET_DATA,
KR310208GE95,,NO_MARKET_DATA,
KR310208GEB9,,NO_MARKET_DATA,
KR310208GF11,,NO_MARKET_DATA,
KR310208GF52,,NO_MARKET_DATA,
KR350802GC44,,NO_MARKET_DATA,
KR310502GF63,,NO_MARKET_DATA,
KR351602GE34,,NO_MARKET_DATA,
KR351602GE42,,NO_MARKET_DATA,
KR351602GE59,,NO_MARKET_DATA,
KR351602GE67,,NO_MARKET_DATA,
KR351602GE75,,NO_MARKET_DATA,
KR351602GE91,,NO_MARKET_DATA,
KR351602GEA5,,NO_MARKET_DATA,
KR351602GF25,,NO_MARKET_DATA,
KR351602GF33,,NO_MARKET_DATA,
KR2100012E15,,NO_MARKET_DATA,
KR2100012E23,,NO_MARKET_DATA,
KR2100012E31,,NO_MARKET_DATA,
KR2100012E49,,NO_MARKET_DATA,
KR2100012E56,,NO_MARKET_DATA,
KR2100012E64,,NO_MARKET_DATA,
KR2100012E72,,NO_MARKET_DATA,
KR2100012E80,,NO_MARKET_DATA,
KR2100012E98,,NO_MARKET_DATA,
KR2100012EA5,,NO_MARKET_DATA,
KR60045Z1F47,,NO_MARKET_DATA,
KR6004691E39,,NO_MARKET_DATA,
KR6004691F46,,NO_MARKET_DATA,
KR6004691G52,,NO_MARKET_DATA,
KR6004692F45,,NO_MARKET_DATA,
KR60096M1F89,,NO_MARKET_DATA,
KR60096R1F88,,NO_MARKET_DATA,
KR60096V1F80,,NO_MARKET_DATA,
KR60096Y1FA5,,NO_MARKET_DATA,
KR6009731D98,,NO_MARKET_DATA,
KR6004941G43,,NO_MARKET_DATA,
KR6004941G50,,NO_MARKET_DATA,
KR6004941G68,,NO_MARKET_DATA,
KR6004941G76,,NO_MARKET_DATA,
KR6004942A89,,NO_MARKET_DATA,
KR6004942E69,,NO_MARKET_DATA,
KR6004942E85,,NO_MARKET_DATA,
KR6004942E93,,NO_MARKET_DATA,
KR6004942EA1,,NO_MARKET_DATA,
KR6004942EB9,,NO_MARKET_DATA,
KR6004942F27,,NO_MARKET_DATA,
KR310203GCC2,,NO_MARKET_DATA,
KR310203GEA2,,NO_MARKET_DATA,
KR310203GEB0,,NO_MARKET_DATA,
KR310203GF24,,NO_MARKET_DATA,
KR310203GF40,,NO_MARKET_DATA,
KR310203GF57,,NO_MARKET_DATA,
KR310203GF65,,NO_MARKET_DATA,
KR310203GF73,,NO_MARKET_DATA,
KR310203GFA9,,NO_MARKET_DATA,
KR310203GFB7,,NO_MARKET_DATA,
KR350704GB44,,NO_MARKET_DATA,
KR350802GD43,,NO_MARKET_DATA,
KR350802GD50,,NO_MARKET_DATA,
KR350802GD76,,NO_MARKET_DATA,
KR350802GD84,,NO_MARKET_DATA,
KR350802GD92,,NO_MARKET_DATA,
KR350802GDB2,,NO_MARKET_DATA,
KR350802GDC0,,NO_MARKET_DATA,
KR350802GE26,,NO_MARKET_DATA,
KR350802GE34,,NO_MARKET_DATA,
KR35440291B7,,NO_MARKET_DATA,
KR101501DD54,,NO_MARKET_DATA,
KR101501DD62,,NO_MARKET_DATA,
KR101501DD70,1.8981224626885824,CALCULATED,중간
KR101501DD88,1.9888752711321984,CALCULATED,중간
KR101501DD96,,NO_MARKET_DATA,
KR101501DDA1,2.145522858873582,CALCULATED,중간
KR101501DDB9,,NO_MARKET_DATA,
KR101501DDC7,2.3063252030817964,CALCULATED,중간
KR101501DE12,2.384979268798298,CALCULATED,중간
KR101501DE20,,NO_MARKET_DATA,
KR101501DE38,2.543132325565707,CALCULATED,고민감
KR350110GF22,,NO_MARKET_DATA,
KR350110GF30,,NO_MARKET_DATA,
KR350110GG47,,NO_MARKET_DATA,
KR350110GG54,,NO_MARKET_DATA,
KR350110GG62,,NO_MARKET_DATA,
KR350111GBB2,,NO_MARKET_DATA,
KR350111GBC0,,NO_MARKET_DATA,
KR353601GB83,,NO_MARKET_DATA,
KR353601GD24,,NO_MARKET_DATA,
KR353601GD65,,NO_MARKET_DATA,
KR60101ASF93,,NO_MARKET_DATA,
KR60101ATF92,,NO_MARKET_DATA,
KR60101C1F96,,NO_MARKET_DATA,
KR60101M1F95,,NO_MARKET_DATA,
KR60101M2F94,,NO_MARKET_DATA,
KR60101R1FC3,,NO_MARKET_DATA,
KR60101T1G73,,NO_MARKET_DATA,
KR60102J1F99,,NO_MARKET_DATA,
KR60102J1FB4,,NO_MARKET_DATA,
KR60102S1G24,,NO_MARKET_DATA,
KR2101012F38,,NO_MARKET_DATA,
KR350704GB77,,NO_MARKET_DATA,
KR350704GBA6,,NO_MARKET_DATA,
KR350704GBB4,,NO_MARKET_DATA,
KR350704GC35,,NO_MARKET_DATA,
KR350704GC43,,NO_MARKET_DATA,
KR350704GC92,,NO_MARKET_DATA,
KR350704GD34,,NO_MARKET_DATA,
KR350704GD42,,NO_MARKET_DATA,
KR350704GD67,,NO_MARKET_DATA,
KR350704GDA2,,NO_MARKET_DATA,
KR354401J3A3,,NO_MARKET_DATA,
KR3544029233,,NO_MARKET_DATA,
KR3544029241,,NO_MARKET_DATA,
KR3544029258,,NO_MARKET_DATA,
KR3544029266,,NO_MARKET_DATA,
KR3544029274,,NO_MARKET_DATA,
KR3544029282,,NO_MARKET_DATA,
KR3544029290,,NO_MARKET_DATA,
KR35440292A7,,NO_MARKET_DATA,
KR35440292B5,,NO_MARKET_DATA,
KR354415GG74,,NO_MARKET_DATA,
KR101501DE53,2.7015316590716068,CALCULATED,고민감
KR101501DE61,2.780467045064512,CALCULATED,고민감
KR101501DE79,2.8621955245619666,CALCULATED,고민감
KR101501DE87,,NO_MARKET_DATA,
KR101501DE95,,NO_MARKET_DATA,
KR101501DEA9,,NO_MARKET_DATA,
KR101501DEB7,,NO_MARKET_DATA,
KR101501DEC5,,NO_MARKET_DATA,
KR101501DF11,,NO_MARKET_DATA,
KR101501DF29,,NO_MARKET_DATA,
KR101501DF37,,NO_MARKET_DATA,
KR353601GD73,,NO_MARKET_DATA,
KR353601GD99,,NO_MARKET_DATA,
KR353601GDB5,,NO_MARKET_DATA,
KR354409GB69,,NO_MARKET_DATA,
KR353601GDC3,,NO_MARKET_DATA,
KR353601GE15,,NO_MARKET_DATA,
KR354409GAA0,,NO_MARKET_DATA,
KR354409GAB8,,NO_MARKET_DATA,
KR354409GAC6,,NO_MARKET_DATA,
KR354409GB10,,NO_MARKET_DATA,
KR2101012F46,,NO_MARKET_DATA,
KR2101012F53,,NO_MARKET_DATA,
KR2101012F61,,NO_MARKET_DATA,
KR2101012F79,,NO_MARKET_DATA,
KR2101012F87,,NO_MARKET_DATA,
KR2101012F95,,NO_MARKET_DATA,
KR2101012FA1,,NO_MARKET_DATA,
KR2101012FB9,,NO_MARKET_DATA,
KR2101012FC7,,NO_MARKET_DATA,
KR2101012G11,,NO_MARKET_DATA,
KR350701GE85,,NO_MARKET_DATA,
KR354401J3B1,,NO_MARKET_DATA,
KR354401J417,,NO_MARKET_DATA,
KR354401J433,,NO_MARKET_DATA,
KR354401J441,,NO_MARKET_DATA,
KR354401J458,,NO_MARKET_DATA,
KR354401J466,,NO_MARKET_DATA,
KR354401J474,,NO_MARKET_DATA,
KR354401J482,,NO_MARKET_DATA,
KR354401J490,,NO_MARKET_DATA,
KR354414G7C8,,NO_MARKET_DATA,
KR3544167256,,NO_MARKET_DATA,
KR35441672A9,,NO_MARKET_DATA,
KR35441672B7,,NO_MARKET_DATA,
KR3544167314,,NO_MARKET_DATA,
KR354416G353,,NO_MARKET_DATA,
KR354416G361,,NO_MARKET_DATA,
KR354416G379,,NO_MARKET_DATA,
KR354416G387,,NO_MARKET_DATA,
KR354416G395,,NO_MARKET_DATA,
KR356103DDB6,,NO_MARKET_DATA,
KR101501DF45,,NO_MARKET_DATA,
KR101701DA30,,NO_MARKET_DATA,
KR101701DA48,,NO_MARKET_DATA,
KR101701DA55,,NO_MARKET_DATA,
KR101701DA63,,NO_MARKET_DATA,
KR101701DA71,,NO_MARKET_DATA,
KR101701DA89,,NO_MARKET_DATA,
KR101701DA97,,NO_MARKET_DATA,
KR101701DAA3,,NO_MARKET_DATA,
KR101701DAB1,,NO_MARKET_DATA,
KR101701DAC9,,NO_MARKET_DATA,
KR354409GB28,,NO_MARKET_DATA,
KR354409GB36,,NO_MARKET_DATA,
KR354409GB44,,NO_MARKET_DATA,
KR354409GB51,,NO_MARKET_DATA,
KR354409GB77,,NO_MARKET_DATA,
KR3560017278,,NO_MARKET_DATA,
KR35600172A7,,NO_MARKET_DATA,
KR3560017310,,NO_MARKET_DATA,
KR356001DG23,,NO_MARKET_DATA,
KR356001G377,,NO_MARKET_DATA,
KR350701GE93,,NO_MARKET_DATA,
KR350701GEA6,,NO_MARKET_DATA,
KR350701GEB4,,NO_MARKET_DATA,
KR350701GEC2,,NO_MARKET_DATA,
KR350701GF19,,NO_MARKET_DATA,
KR350701GF27,,NO_MARKET_DATA,
KR354204GE71,,NO_MARKET_DATA,
KR350701GF35,,NO_MARKET_DATA,
KR350701GF43,,NO_MARKET_DATA,
KR350701GF50,,NO_MARKET_DATA,
KR354414G838,,NO_MARKET_DATA,
KR354414G846,,NO_MARKET_DATA,
KR354414G861,,NO_MARKET_DATA,
KR354414G879,,NO_MARKET_DATA,
KR354414G8C6,,NO_MARKET_DATA,
KR354414G945,,NO_MARKET_DATA,
KR356101GG78,,NO_MARKET_DATA,
KR354414G986,,NO_MARKET_DATA,
KR354414G9A8,,NO_MARKET_DATA,
KR354414G9B6,,NO_MARKET_DATA,
KR356103DDC4,,NO_MARKET_DATA,
KR356103DE14,,NO_MARKET_DATA,
KR356103DE22,,NO_MARKET_DATA,
KR356103DE30,,NO_MARKET_DATA,
KR356103DE48,,NO_MARKET_DATA,
KR356103DE55,,NO_MARKET_DATA,
KR356103DE71,,NO_MARKET_DATA,
KR356103DE89,,NO_MARKET_DATA,
KR356103DE97,,NO_MARKET_DATA,
KR60004RREC6,,NO_MARKET_DATA,
KR101501DF52,,NO_MARKET_DATA,
KR101501DF60,,NO_MARKET_DATA,
KR101501DF78,3.820893799356243,CALCULATED,고민감
KR101501DF86,,NO_MARKET_DATA,
KR101501DF94,,NO_MARKET_DATA,
KR101501DFA6,,NO_MARKET_DATA,
KR101501DFB4,,NO_MARKET_DATA,
KR101501DFC2,4.228829588298064,CALCULATED,고민감
KR101501DG10,4.302397098305511,CALCULATED,고민감
KR101501DG28,4.373975309816785,CALCULATED,고민감
KR101501DG36,4.456538131451696,CALCULATED,고민감
KR356001G4A3,,NO_MARKET_DATA,
KR356001G542,,NO_MARKET_DATA,
KR356001G575,,NO_MARKET_DATA,
KR356001G591,,NO_MARKET_DATA,
KR356001G5A0,,NO_MARKET_DATA,
KR381101GE86,,NO_MARKET_DATA,
KR381101GE94,,NO_MARKET_DATA,
KR381101GEA2,,NO_MARKET_DATA,
KR381101GEB0,,NO_MARKET_DATA,
KR381101GEC8,,NO_MARKET_DATA,
KR350701GF68,,NO_MARKET_DATA,
KR354203GC25,,NO_MARKET_DATA,
KR354203GCB1,,NO_MARKET_DATA,
KR354203GE72,,NO_MARKET_DATA,
KR354203GEB7,,NO_MARKET_DATA,
KR354203GFB4,,NO_MARKET_DATA,
KR354203GFC2,,NO_MARKET_DATA,
KR354205G848,,NO_MARKET_DATA,
KR354205GE70,,NO_MARKET_DATA,
KR354206GE79,,NO_MARKET_DATA,
KR356101GFB8,,NO_MARKET_DATA,
KR356101GFC6,,NO_MARKET_DATA,
KR356101GG11,,NO_MARKET_DATA,
KR356101GG29,,NO_MARKET_DATA,
KR356101GG37,,NO_MARKET_DATA,
KR356101GG45,,NO_MARKET_DATA,
KR356101GG52,,NO_MARKET_DATA,
KR356101GG60,,NO_MARKET_DATA,
KR356101GG86,,NO_MARKET_DATA,
KR356101J585,,NO_MARKET_DATA,
KR6000039D96,,NO_MARKET_DATA,
KR60004RSEC4,,NO_MARKET_DATA,
KR60004RTEC2,,NO_MARKET_DATA,
KR60004RVEC8,,NO_MARKET_DATA,
KR60004RWEC6,,NO_MARKET_DATA,
KR60004RXEC4,,NO_MARKET_DATA,
KR60004RYEC2,,NO_MARKET_DATA,
KR60004Y1EC5,,NO_MARKET_DATA,
KR6000501F28,,NO_MARKET_DATA,
KR6000502F27,,NO_MARKET_DATA,
KR60057C1F58,,NO_MARKET_DATA,
KR101501DG44,4.529759557984801,CALCULATED,고민감
KR101501DG51,4.61333627587956,CALCULATED,고민감
KR101501DG69,4.69003527320352,CALCULATED,고민감
KR101501DG77,4.772402865620311,CALCULATED,고민감
KR101501DG85,,EXCLUDED_UNSUPPORTED_TYPE,
KR101701D682,,NO_MARKET_DATA,
KR101701D690,,NO_MARKET_DATA,
KR101701D6A4,,NO_MARKET_DATA,
KR101701D6B2,,NO_MARKET_DATA,
KR101701D716,,NO_MARKET_DATA,
KR101701D724,,NO_MARKET_DATA,
KR381101GF10,,NO_MARKET_DATA,
KR381101GF28,,NO_MARKET_DATA,
KR381101GF36,,NO_MARKET_DATA,
KR381101GF44,,NO_MARKET_DATA,
KR381101GF51,,NO_MARKET_DATA,
KR350111GC16,,NO_MARKET_DATA,
KR350111GEA8,,NO_MARKET_DATA,
KR350111GF21,,NO_MARKET_DATA,
KR350111GF39,,NO_MARKET_DATA,
KR353601DG65,,NO_MARKET_DATA,
KR354411GC98,,NO_MARKET_DATA,
KR354411GCB0,,NO_MARKET_DATA,
KR354411GD22,,NO_MARKET_DATA,
KR354411GD30,,NO_MARKET_DATA,
KR354411GD55,,NO_MARKET_DATA,
KR354411GD63,,NO_MARKET_DATA,
KR354411GD89,,NO_MARKET_DATA,
KR354411GDA0,,NO_MARKET_DATA,
KR354411GDB8,,NO_MARKET_DATA,
KR354411GDC6,,NO_MARKET_DATA,
KR6000039E95,,NO_MARKET_DATA,
KR600003AE92,,NO_MARKET_DATA,
KR600003CE90,,NO_MARKET_DATA,
KR6000041F82,,NO_MARKET_DATA,
KR6000041G32,,NO_MARKET_DATA,
KR6000042F81,,NO_MARKET_DATA,
KR6000042G31,,NO_MARKET_DATA,
KR6000043G30,,NO_MARKET_DATA,
KR6000044G39,,NO_MARKET_DATA,
KR6000061C49,,NO_MARKET_DATA,
KR60051KRF50,,NO_MARKET_DATA,
KR60057D1F56,,NO_MARKET_DATA,
KR60057E1F54,,NO_MARKET_DATA,
KR60057F1F51,,NO_MARKET_DATA,
KR60057G1F59,,NO_MARKET_DATA,
KR60057J1F53,,NO_MARKET_DATA,
KR60057K1F51,,NO_MARKET_DATA,
KR60057L1F59,,NO_MARKET_DATA,
KR60121T1FA1,,NO_MARKET_DATA,
KR60057M1F57,,NO_MARKET_DATA,
KR60057R1F56,,NO_MARKET_DATA,
KR6005831F28,,NO_MARKET_DATA,
KR101701D732,,NO_MARKET_DATA,
KR101701D740,,NO_MARKET_DATA,
KR101701D757,,NO_MARKET_DATA,
KR101701D765,,NO_MARKET_DATA,
KR101701D773,,NO_MARKET_DATA,
KR101701D781,,NO_MARKET_DATA,
KR101701D799,,NO_MARKET_DATA,
KR101701D7A2,,NO_MARKET_DATA,
KR101701D7B0,,NO_MARKET_DATA,
KR101701D7C8,,NO_MARKET_DATA,
KR101701D815,,NO_MARKET_DATA,
KR101701D823,,NO_MARKET_DATA,
KR353601DG73,,NO_MARKET_DATA,
KR60042CQF46,,NO_MARKET_DATA,
KR60042CRF45,,NO_MARKET_DATA,
KR60042CSF44,,NO_MARKET_DATA,
KR60042CTF43,,NO_MARKET_DATA,
KR60042X1F49,,NO_MARKET_DATA,
KR6004371E93,,NO_MARKET_DATA,
