isinCd,credit_rating,credit_spread,duration_sensitivity,rating_signal,spread_signal,duration_signal,total_score,available_signals,investment_priority
KR101501DC30,,-0.3479999999999998,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR101501DC63,,-0.2730000000000001,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR101501DC89,,-0.33,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR101501DCA3,,-0.2999999999999998,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR101501DD13,,0.1949999999999998,중간,,NEUTRAL,NEUTRAL,0,2,균형형
KR101501DD39,,0.4049999999999998,중간,,NEUTRAL,NEUTRAL,0,2,균형형
KR101501DD70,,0.2509999999999999,중간,,NEUTRAL,NEUTRAL,0,2,균형형
KR101501DD88,,-0.2269999999999998,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR101501DDA1,,-0.0009999999999998,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR101501DDC7,,0.0070000000000001,중간,,NEUTRAL,NEUTRAL,0,2,균형형
KR101501DE12,,0.1440000000000001,중간,,NEUTRAL,NEUTRAL,0,2,균형형
KR101501DE38,,0.0350000000000001,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DE53,,0.1320000000000001,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DE61,,0.137,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DE79,,0.1360000000000001,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DF78,,0.1180889801505817,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DFC2,,-0.0515701574264202,고민감,,STABLE,YIELD,0,2,균형형
KR101501DG10,,0.1361786447638597,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DG28,,0.1778227241615333,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DG36,,0.1445715263518141,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DG44,,0.2666187542778915,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DG51,,0.2093675564681723,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DG69,,0.2484147843942503,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DG77,,0.2191635865845311,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR101501DG85,,0.2138268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR10350172C8,,0.2179999999999999,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103501GC90,,-0.1949999999999998,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR103501GE98,,0.016778918548939,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103501GF63,,-0.2160000000000002,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR103501GF97,,-0.2810000000000001,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR103501GG39,,0.3129999999999997,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103501GG62,,-0.0019999999999997,고민감,,STABLE,YIELD,0,2,균형형
KR10350270C0,,-1.4623032169746746,고민감,,STABLE,YIELD,0,2,균형형
