basDt,srtnCd,isinCd,itmsNm,mrktCtg,xpYrCnt,itmsCtg,clprPrc,clprVs,clprBnfRt,mkpPrc,mkpBnfRt,hiprPrc,hiprBnfRt,loprPrc,loprBnfRt,trqu,trPrc
20260807,C01501DC3,KR101501DC30,국민주택1종22-03,일반채권, , ,10284,0,3.398,10284,3.398,10284,3.398,10284,3.398,24700000,25401480
20260807,C01501DC6,KR101501DC63,국민주택1종22-06,일반채권, , ,10192.8,0,3.473,10192.8,3.473,10192.8,3.473,10192.8,3.473,50060000,51025156
20260807,C01501DC8,KR101501DC89,국민주택1종22-08,일반채권, , ,10140,0,3.416,10140,3.416,10140,3.416,10140,3.416,630000,638820
20260807,C01501DCA,KR101501DCA3,국민주택1종22-10,일반채권, , ,10079,4.7,3.446,10079,3.446,10079,3.446,10079,3.446,930000,937347
20260807,C01501DD1,KR101501DD13,국민주택1종23-01,일반채권, , ,10070,5,3.941,10070,3.941,10070,3.941,10070,3.941,10000000,10070000
20260807,C01501DD3,KR101501DD39,국민주택1종23-03,일반채권, , ,9974.1,-85.9,4.151,9974.1,4.151,9974.1,4.151,9974.1,4.151,2210000,2204276
20260807,C01501DD7,KR101501DD70,국민주택1종23-07,일반채권, , ,9870,0,3.997,9870,3.997,9870,3.997,9870,3.997,2100000,2072700
20260807,C01501DD8,KR101501DD88,국민주택1종23-08,일반채권, , ,9931,0,3.519,9911.5,3.618,9931,3.519,9911.5,3.618,3310000,3280726
20260807,C01501DDA,KR101501DDA1,국민주택1종23-10,일반채권, , ,9825,28,3.745,9825,3.745,9825,3.745,9825,3.745,100000000,98250000
20260807,C01501DDC,KR101501DDC7,국민주택1종23-12,일반채권, , ,9762.5,0,3.753,9762.5,3.753,9762.5,3.753,9762.5,3.753,21190000,20686737
20260807,C01501DE1,KR101501DE12,국민주택1종24-01,일반채권, , ,9700,0,3.89,9700,3.89,9700,3.89,9700,3.89,10000000,9700000
20260807,C01501DE3,KR101501DE38,국민주택1종24-03,일반채권, , ,9667.5,-8.5,3.781,9667.5,3.781,9667.5,3.781,9667.5,3.781,630000,609052
20260807,C01501DE5,KR101501DE53,국민주택1종24-05,일반채권, , ,9583,0,3.878,9583,3.878,9583,3.878,9583,3.878,1650000,1581195
20260807,C01501DE6,KR101501DE61,국민주택1종24-06,일반채권, , ,9552,-3,3.883,9555,3.872,9555,3.872,9552,3.883,50000000,47760075
20260807,C01501DE7,KR101501DE79,국민주택1종24-07,일반채권, , ,9522,-17,3.882,9522,3.882,9522,3.882,9522,3.882,50530000,48114666
20260807,C01501DF7,KR101501DF78,국민주택1종25-07,일반채권, , ,9000.5,-15.5,3.971,9010,3.943,9010,3.943,9000.5,3.971,2710000,2439145
20260807,C01501DFC,KR101501DFC2,국민주택1종25-12,일반채권, , ,8900,0,3.847,8900,3.847,8900,3.847,8900,3.847,5000000,4450000
20260807,C01501DG1,KR101501DG10,국민주택1종26-01,일반채권, , ,8796,27,4.044,8796,4.044,8796,4.044,8796,4.044,16950000,14909220
20260807,C01501DG2,KR101501DG28,국민주택1종26-02,일반채권, , ,8750,30,4.094,8700,4.225,8750,4.094,8700,4.225,2190000,1913100
20260807,C01501DG3,KR101501DG36,국민주택1종26-03,일반채권, , ,8730,0,4.07,8710,4.121,8730,4.07,8710,4.121,48010000,41820710
20260807,C01501DG4,KR101501DG44,국민주택1종26-04,일반채권, , ,8650,35,4.201,8650,4.201,8650,4.201,8650,4.201,35000000,30275000
20260807,C01501DG5,KR101501DG51,국민주택1종26-05,일반채권, , ,8639,0,4.153,8642,4.146,8642,4.146,8638,4.156,345640000,298564123
20260807,C01501DG6,KR101501DG69,국민주택1종26-06,일반채권, , ,8591.5,1,4.201,8591.5,4.201,8591.5,4.201,8591.5,4.201,4900000,4209835
20260807,C01501DG7,KR101501DG77,국민주택1종26-07,소액채권, , ,8570,-16,4.181,8587,4.14,8587,4.14,8570,4.181,10923354000,9374050591
20260807,C01501DG8,KR101501DG85,국민주택1종26-08,소액채권, , ,8540,-13,4.181,8554,4.147,8556,4.143,8540,4.181,107509651000,91906462642
20260807,C0350172C,KR10350172C8,국고03000-4212(12-5),일반채권, , ,8400,0,4.426,8400,4.426,8400,4.426,8400,4.426,220000,184800
20260807,C03501GC9,KR103501GC90,국고03125-2709(22-8),일반채권, , ,10081.6,-10.8,3.551,10084.4,3.525,10093.4,3.44,10081.6,3.551,1103850000,1113121393
