STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0101000,한국은행 기준금리,,,A,1999,2025,27,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0101000,한국은행 기준금리,,,D,19990506,20260810,9958,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0101000,한국은행 기준금리,,,M,199905,202607,327,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0101000,한국은행 기준금리,,,Q,1999Q2,2026Q2,109,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0102000,정부대출금금리,,,A,1994,2025,32,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0102000,정부대출금금리,,,D,19940103,20260810,11907,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0102000,정부대출금금리,,,M,199401,202607,391,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0102000,정부대출금금리,,,Q,1994Q1,2026Q2,130,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0109000,총액한도대출금리,,,A,1994,2012,19,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0109000,총액한도대출금리,,,D,19940315,20250705,6968,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0109000,총액한도대출금리,,,M,199403,201303,229,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0109000,총액한도대출금리,,,Q,1994Q1,2013Q1,77,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0106000,결제자금지원한도 대출금리,,,A,1994,1994,1,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0106000,결제자금지원한도 대출금리,,,D,20130411,20250705,82,연%,
