STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,0,총지수,,,A,1965,2025,61,2020=100,1000
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,0,총지수,,,M,196501,202607,739,2020=100,1000
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,0,총지수,,,Q,1965Q1,2026Q2,246,2020=100,1000
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A,식료품 및 비주류음료,0,총지수,A,1985,2025,41,2020=100,142
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A,식료품 및 비주류음료,0,총지수,M,198501,202607,499,2020=100,142
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A,식료품 및 비주류음료,0,총지수,Q,1985Q1,2026Q2,166,2020=100,142
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01,식료품,A,식료품 및 비주류음료,A,1985,2025,41,2020=100,132.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01,식료품,A,식료품 및 비주류음료,M,198501,202607,499,2020=100,132.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01,식료품,A,식료품 및 비주류음료,Q,1985Q1,2026Q2,166,2020=100,132.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A011,빵 및 곡물,A01,식료품,A,1985,2025,41,2020=100,22.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A011,빵 및 곡물,A01,식료품,M,198501,202607,499,2020=100,22.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A011,빵 및 곡물,A01,식료품,Q,1985Q1,2026Q2,166,2020=100,22.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01101,쌀,A011,빵 및 곡물,A,1975,2025,51,2020=100,4.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01101,쌀,A011,빵 및 곡물,M,197501,202607,619,2020=100,4.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01101,쌀,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,4.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01102,현미,A011,빵 및 곡물,A,2015,2025,11,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01102,현미,A011,빵 및 곡물,M,201501,202607,139,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01102,현미,A011,빵 및 곡물,Q,2015Q1,2026Q2,46,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01103,찹쌀,A011,빵 및 곡물,A,1975,2025,51,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01103,찹쌀,A011,빵 및 곡물,M,197501,202607,619,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01103,찹쌀,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01104,보리쌀,A011,빵 및 곡물,A,1975,2025,51,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01104,보리쌀,A011,빵 및 곡물,M,197501,202607,619,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01104,보리쌀,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01105,콩,A011,빵 및 곡물,A,1975,2025,51,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01105,콩,A011,빵 및 곡물,M,197501,202607,619,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01105,콩,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,0.5
