P_STAT_CODE,STAT_CODE,STAT_NAME,CYCLE,SRCH_YN,ORG_NAME
0000000048,722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,D,Y,
0000000048,0000000050,1.3.2. 시장금리,,N,
0000000050,817Y002,1.3.2.1. 시장금리(일별),D,Y,한국은행
0000000050,721Y001,"1.3.2.2. 시장금리(월,분기,년)",M,Y,한국은행
0000000202,0000000203,4.1. 생산자물가지수(2020=100),,N,
0000000203,0000000204,4.1.1. 생산자물가지수,,N,
0000000204,404Y014,4.1.1.1. 생산자물가지수(기본분류),M,Y,
0000000204,404Y015,4.1.1.2. 생산자물가지수(특수분류),M,Y,한국은행
0000000204,404Y016,4.1.1.3. 생산자물가지수(품목별),M,Y,한국은행
0000000204,404Y017,4.1.1.4. 생산자물가지수-총지수(1910~1964),M,Y,한국은행
0000000203,405Y006,4.1.2. 국내공급물가지수,M,Y,한국은행
0000000203,405Y007,4.1.3. 총산출물가지수,M,Y,한국은행
0000000202,0000000211,4.2. 소비자물가지수(2020=100),,N,
0000000211,901Y009,4.2.1. 소비자물가지수,M,Y,국가데이터처(02-2012-9114)
0000000211,901Y010,4.2.2. 소비자물가지수(특수분류),M,Y,국가데이터처(02-2012-9114)
0000000202,0000000214,4.3. 수출/수입물가지수(2020=100),,N,
0000000214,0000000215,4.3.1. 수출물가지수,,N,
0000000215,402Y014,4.3.1.1. 수출물가지수(기본분류),M,Y,한국은행
0000000215,402Y015,4.3.1.2. 수출물가지수(특수분류),M,Y,한국은행
0000000215,402Y016,4.3.1.3. 수출물가지수(품목별),M,Y,
0000000214,0000000219,4.3.2. 수입물가지수,,N,
0000000219,401Y015,4.3.2.1. 수입물가지수(기본분류),M,Y,한국은행
0000000219,401Y016,4.3.2.2. 수입물가지수(특수분류),M,Y,한국은행
0000000219,401Y017,4.3.2.3. 수입물가지수(품목별),M,Y,한국은행
0000000219,401Y018,4.3.2.4. 수입물가지수(용도별),M,Y,한국은행
0000000442,902Y007,9.1.2.1. 국제 주요국 생산자물가지수,M,Y,IMF
0000000442,902Y008,9.1.2.2. 국제 주요국 소비자물가지수,M,Y,IMF
0000000704,252Y001,9.2.3.1. 시장물가지수,Q,Y,한국은행
