date,isin,bond_name,issuer,bond_type,credit_rating,issue_date,maturity_date,remaining_maturity,coupon_rate,interest_payment_cycle,close_price,ytm,volume,trading_value,payments_per_year,has_option,is_fixed_rate
2026-08-07,KR101501DC30,국민주택1종22-03,대한민국,국채,,2022-03-31,2027-03-31,236.0,1.0,12개월,10284.0,3.398,24700000,25401480,1.0,False,True
2026-08-07,KR101501DC63,국민주택1종22-06,대한민국,국채,,2022-06-30,2027-06-30,327.0,1.0,12개월,10192.8,3.473,50060000,51025156,1.0,False,True
2026-08-07,KR101501DC89,국민주택1종22-08,대한민국,국채,,2022-08-31,2027-08-31,389.0,1.0,12개월,10140.0,3.416,630000,638820,1.0,False,True
2026-08-07,KR101501DCA3,국민주택1종22-10,대한민국,국채,,2022-10-31,2027-10-31,450.0,1.0,12개월,10079.0,3.446,930000,937347,1.0,False,True
2026-08-07,KR101501DD13,국민주택1종23-01,대한민국,국채,,2023-01-31,2028-01-31,542.0,1.3,12개월,10070.0,3.941,10000000,10070000,1.0,False,True
2026-08-07,KR101501DD39,국민주택1종23-03,대한민국,국채,,2023-03-31,2028-03-31,602.0,1.3,12개월,9974.1,4.151,2210000,2204276,1.0,False,True
2026-08-07,KR101501DD70,국민주택1종23-07,대한민국,국채,,2023-07-31,2028-07-31,724.0,1.3,12개월,9870.0,3.997,2100000,2072700,1.0,False,True
2026-08-07,KR101501DD88,국민주택1종23-08,대한민국,국채,,2023-08-31,2028-08-31,755.0,1.3,12개월,9931.0,3.519,3310000,3280726,1.0,False,True
2026-08-07,KR101501DDA1,국민주택1종23-10,대한민국,국채,,2023-10-31,2028-10-31,816.0,1.3,12개월,9825.0,3.745,100000000,98250000,1.0,False,True
2026-08-07,KR101501DDC7,국민주택1종23-12,대한민국,국채,,2023-12-31,2028-12-31,877.0,1.3,12개월,9762.5,3.753,21190000,20686737,1.0,False,True
2026-08-07,KR101501DE12,국민주택1종24-01,대한민국,국채,,2024-01-31,2029-01-31,908.0,1.3,12개월,9700.0,3.89,10000000,9700000,1.0,False,True
2026-08-07,KR101501DE38,국민주택1종24-03,대한민국,국채,,2024-03-31,2029-03-31,967.0,1.3,12개월,9667.5,3.781,630000,609052,1.0,False,True
2026-08-07,KR101501DE53,국민주택1종24-05,대한민국,국채,,2024-05-31,2029-05-31,1028.0,1.3,12개월,9583.0,3.878,1650000,1581195,1.0,False,True
2026-08-07,KR101501DE61,국민주택1종24-06,대한민국,국채,,2024-06-30,2029-06-30,1058.0,1.3,12개월,9552.0,3.883,50000000,47760075,1.0,False,True
2026-08-07,KR101501DE79,국민주택1종24-07,대한민국,국채,,2024-07-31,2029-07-31,1089.0,1.3,12개월,9522.0,3.882,50530000,48114666,1.0,False,True
2026-08-07,KR101501DF78,국민주택1종25-07,대한민국,국채,,2025-07-31,2030-07-31,1454.0,1.0,12개월,9000.5,3.971,2710000,2439145,1.0,False,True
2026-08-07,KR101501DFC2,국민주택1종25-12,대한민국,국채,,2025-12-31,2030-12-31,1607.0,1.0,12개월,8900.0,3.847,5000000,4450000,1.0,False,True
2026-08-07,KR101501DG10,국민주택1종26-01,대한민국,국채,,2026-01-31,2031-01-31,1638.0,1.0,12개월,8796.0,4.044,16950000,14909220,1.0,False,True
2026-08-07,KR101501DG28,국민주택1종26-02,대한민국,국채,,2026-02-28,2031-02-28,1666.0,1.0,12개월,8750.0,4.094,2190000,1913100,1.0,False,True
2026-08-07,KR101501DG36,국민주택1종26-03,대한민국,국채,,2026-03-31,2031-03-31,1697.0,1.0,12개월,8730.0,4.07,48010000,41820710,1.0,False,True
2026-08-07,KR101501DG44,국민주택1종26-04,대한민국,국채,,2026-04-30,2031-04-30,1727.0,1.0,12개월,8650.0,4.201,35000000,30275000,1.0,False,True
2026-08-07,KR101501DG51,국민주택1종26-05,대한민국,국채,,2026-05-31,2031-05-31,1758.0,1.0,12개월,8639.0,4.153,345640000,298564123,1.0,False,True
2026-08-07,KR101501DG69,국민주택1종26-06,대한민국,국채,,2026-06-30,2031-06-30,1788.0,1.0,12개월,8591.5,4.201,4900000,4209835,1.0,False,True
2026-08-07,KR101501DG77,국민주택1종26-07,대한민국,국채,,2026-07-31,2031-07-31,1819.0,1.0,12개월,8570.0,4.181,10923354000,9374050591,1.0,False,True
2026-08-07,KR101501DG85,국민주택1종26-08,대한민국,국채,,2026-08-31,2031-08-31,1850.0,1.0,,8540.0,4.181,107509651000,91906462642,,False,True
2026-08-07,KR10350172C8,국고03000-4212(12-5),대한민국,국채,,2012-12-10,2042-12-10,5969.0,3.0,6개월,8400.0,4.426,220000,184800,2.0,False,True
2026-08-07,KR103501GC90,국고03125-2709(22-8),대한민국,국채,,2022-09-10,2027-09-10,399.0,3.125,6개월,10081.6,3.551,1103850000,1113121393,2.0,False,True
2026-08-07,KR103501GE98,국고03000-2909(24-7),대한민국,국채,,2024-09-10,2029-09-10,1130.0,3.0,6개월,9898.0,3.773,1000000,989800,2.0,False,True
2026-08-07,KR103501GF63,국고02250-2806(25-4),대한민국,국채,,2025-06-10,2028-06-10,673.0,2.25,6개월,9808.7,3.53,10000,9808,2.0,False,True
2026-08-07,KR103501GF97,국고02250-2709(25-6),대한민국,국채,,2025-09-10,2027-09-10,399.0,2.25,6개월,9962.1,3.465,1200000,1195242,2.0,False,True
2026-08-07,KR103501GG39,국고03500-5603(26-2),대한민국,국채,,2026-03-10,2056-03-10,10808.0,3.5,6개월,8487.0,4.521,681000000000,578019500000,2.0,False,True
2026-08-07,KR103501GG62,국고03500-2906(26-5),대한민국,국채,,2026-06-10,2029-06-10,1038.0,3.5,6개월,9992.5,3.744,1169000000000,1167837450000,2.0,False,True
2026-08-07,KR10350270C0,국고04750-3012(10-7),대한민국,국채,,2010-12-10,2030-12-10,1586.0,4.75,6개월,11025.0,2.43,2510000,2767275,2.0,False,True
2026-08-07,KR1035027WC3,국고05500-2912(09-5),대한민국,국채,,2009-12-10,2029-12-10,1221.0,5.5,6개월,10587.0,3.887,1500000,1582850,2.0,False,True
2026-08-07,KR103502G693,국고01500-3609(16-6),대한민국,국채,,2016-09-10,2036-09-10,3687.0,1.5,6개월,7820.0,4.254,20000,15640,2.0,False,True
2026-08-07,KR103502G6C4,국고01500-2612(16-8),대한민국,국채,,2016-12-10,2026-12-10,125.0,1.5,6개월,9966.0,3.202,115650000,115255225,2.0,False,True
2026-08-07,KR103502G768,국고02125-2706(17-3),대한민국,국채,,2017-06-10,2027-06-10,307.0,2.125,6개월,9929.7,3.382,5420000,5381922,2.0,False,True
2026-08-07,KR103502G990,국고01125-3909(19-6),대한민국,국채,,2019-09-10,2039-09-10,4782.0,1.125,6개월,6879.0,4.316,3929570000,2702059594,2.0,False,True
2026-08-07,KR103502G9C8,국고01375-2912(19-8),대한민국,국채,,2019-12-10,2029-12-10,1221.0,1.375,6개월,9267.0,3.8,348870000,322944324,2.0,False,True
2026-08-07,KR103502GA34,국고01500-5003(20-2),대한민국,국채,,2020-03-10,2050-03-10,8616.0,1.5,6개월,5692.0,4.534,2031380000,1156110383,2.0,False,True
2026-08-07,KR103502GA67,국고01375-3006(20-4),대한민국,국채,,2020-06-10,2030-06-10,1403.0,1.375,6개월,9123.0,3.916,304780000,278046833,2.0,False,True
2026-08-07,KR103502GA91,국고01500-4009(20-7),대한민국,국채,,2020-09-10,2040-09-10,5148.0,1.5,6개월,7070.0,4.363,598910000,423733107,2.0,False,True
2026-08-07,KR103502GAC2,국고01500-3012(20-9),대한민국,국채,,2020-12-10,2030-12-10,1586.0,1.5,6개월,9066.5,3.917,46870000,42504337,2.0,False,True
2026-08-07,KR103502GB33,국고01875-5103(21-2),대한민국,국채,,2021-03-10,2051-03-10,8981.0,1.875,6개월,6120.0,4.569,137060000,83880720,2.0,False,True
2026-08-07,KR103502GB66,국고02000-3106(21-5),대한민국,국채,,2021-06-10,2031-06-10,1768.0,2.0,6개월,9175.5,3.959,6530000,5990831,2.0,False,True
2026-08-07,KR103502GBC0,국고02375-3112(21-11),대한민국,국채,,2021-12-10,2031-12-10,1951.0,2.375,6개월,9210.0,4.115,730000,672361,2.0,False,True
2026-08-07,KR103502GC99,국고03125-5209(22-9),대한민국,국채,,2022-09-10,2052-09-10,9531.0,3.125,6개월,8009.0,4.514,62430000,50000187,2.0,False,True
2026-08-07,KR103502GCC8,국고04250-3212(22-14),대한민국,국채,,2022-12-10,2032-12-10,2317.0,4.25,6개월,10117.0,4.158,50030000,50850351,2.0,False,True
2026-08-07,KR103502GD31,국고03250-5303(23-2),대한민국,국채,,2023-03-10,2053-03-10,9712.0,3.25,6개월,8145.0,4.545,198570000,161327732,2.0,False,True
